name,city,rating,rating_count,cost,cuisine,city_cleaned
Janta Sweet House,Abohar,4.4,50,200,"Sweets,Bakery",Abohar
theka coffee desi,Abohar,3.8,100,100,Beverages,Abohar
shere punjab veg,Abohar,4.0,100,150,North Indian,Abohar
Bharawan Da Dhaba,Abohar,4.4,50,300,Indian,Abohar
NIKKU VEG THALI,Abohar,4.1,100,150,North Indian,Abohar
IFC Restaurant,Adilabad,3.5,100,400,American,Adilabad
Hot N Chill Restaurant,Adilabad,3.5,100,150,"European,Italian",Adilabad
Devi Family Restaurant,Adilabad,3.4,50,400,"Indian,Chinese",Adilabad
Hotel Radha Grand Family restaurant,Adilabad,3.5,50,200,Biryani,Adilabad
Hotel Surabhi Grand,Adilabad,3.7,100,300,"Indian,Chinese",Adilabad
Food Court,Adilabad,3.4,50,400,"Indian,Chinese",Adilabad
Lotus Grand Family Restaurant,Adilabad,3.6,50,250,Biryani,Adilabad
Tanishq Family Restaurant,Adilabad,3.7,50,250,"Chinese,Indian",Adilabad
La Pino'z Pizza,Adityapur,4.1,500,200,"Pizzas,Fast Food",Adityapur
Chaw Box,Adityapur,3.3,100,300,"Chinese,North Indian",Adityapur
Cafe Coffee Day,Adityapur,3.7,50,300,"Beverages,Snacks",Adityapur
Aditya Inn Restaurant,Adityapur,3.6,100,150,"Biryani,Chinese",Adityapur
Indian Bakery,Adityapur,3.3,100,200,Bakery,Adityapur
The Onyx (Pure veg),Adityapur,3.8,100,300,"Indian,Chinese",Adityapur
NEW GANGOUR SWEETS (Adityapur),Adityapur,4.0,50,200,South Indian,Adityapur
National Bakery,Adityapur,4.4,50,399,"Bakery,Snacks",Adityapur
KFC,Adityapur,4.0,500,400,"American,Snacks",Adityapur
Buddha Delight - Gamharia,Adityapur,3.5,100,200,"Chinese,Indian",Adityapur
Dosa Planet,Adityapur,3.9,500,249,"South Indian,Indian",Adityapur
Pizza Hut,Adityapur,3.3,100,350,Pizzas,Adityapur
Junction,Adityapur,3.9,500,399,"Indian,Chinese",Adityapur
Kolkata Royal Biryani,Adityapur,3.7,500,150,"Biryani,Street Food",Adityapur
Yummerica Fries,Adityapur,3.8,50,400,"American,Beverages",Adityapur
New Gangour Sweets (Bistupur),Adityapur,4.3,100,99,Sweets,Adityapur
Momo Nation Cafe,Adityapur,3.8,50,200,"Nepalese,Chinese",Adityapur
NIC Natural Ice Creams,Adityapur,4.4,500,120,"Ice Cream,Desserts",Adityapur
Haldiram's Prabhuji,Adityapur,4.0,100,300,"North Indian,South Indian",Adityapur
Kanya Restaurant,Adityapur,4.1,500,200,"North Indian,Chinese",Adityapur
Domino's Pizza,Adityapur,4.1,50,400,Pizzas,Adityapur
Motel Madhuban,Adityapur,4.1,100,499,"Indian,Chinese",Adityapur
Baker Street,Adityapur,4.1,100,150,Bakery,Adityapur
Dasaprakash,Adityapur,4.3,100,400,"South Indian,North Indian",Adityapur
Little Metro,Adityapur,3.9,100,200,"North Indian,Chinese",Adityapur
The Madrasi Hotel,Adityapur,4.3,100,299,South Indian,Adityapur
Grameen Kulfi,Adityapur,4.5,100,120,"Ice Cream,Desserts",Adityapur
Asian Inn,Adityapur,4.0,1000,399,"Indian,Tandoor",Adityapur
Biggies Burger,Adityapur,3.8,100,300,"American,Fast Food",Adityapur
Kaveri (Adityapur),Adityapur,3.5,100,200,Indian,Adityapur
Subway,Adityapur,3.3,100,350,"Healthy Food,Salads",Adityapur
AUROUS RESTRO LOUNGE,Adityapur,4.0,100,500,"Continental,American",Adityapur
Anand,Adityapur,4.3,500,299,"South Indian,Indian",Adityapur
Kolkata Biryani - Jugsalai,Adityapur,3.8,50,150,Biryani,Adityapur
Milanee s Kitchen,Adityapur,4.2,100,399,"Bengali,Indian",Adityapur
Al Karim Fast Food,Adityapur,4.2,100,200,"Street Food,Chinese",Adityapur
The Moti Mahal,Adityapur,3.2,100,399,"Indian,Chinese",Adityapur
Manohar Maharaj & Sons,Adityapur,4.3,50,100,"South Indian,Chaat",Adityapur
Chinese Inn,Adityapur,4.2,50,399,"Chinese,Indian",Adityapur
New Gangour Sweets,Adityapur,4.1,50,200,"Sweets,Snacks",Adityapur
Brubeck Bakery,Adityapur,4.1,100,200,"Bakery,Desserts",Adityapur
Le Bon,Adityapur,4.2,100,399,"Bakery,Pizzas",Adityapur
TIME OUT,Adityapur,4.1,100,299,"Chaat,South Indian",Adityapur
GUAVA - ALL DAY BISTRO,Adityapur,3.8,50,300,"Chinese,Biryani",Adityapur
Olive  Multicuisine Restaurant,Adityapur,4.0,50,300,"Chinese,North Indian",Adityapur
Blooms,Adityapur,3.8,50,250,Indian,Adityapur
BIRYANI  WALE,Adityapur,2.4,50,200,Biryani,Adityapur
Pizza Peddler,Adityapur,3.8,50,200,"Pizzas,Pastas",Adityapur
Baskin Robbins,Adityapur,4.6,50,250,"Desserts,Ice Cream",Adityapur
Sagar's Kitchen Kraft,Adityapur,3.7,50,199,"Indian,Chinese",Adityapur
New US Pizza,Adityapur,3.6,100,299,"Pizzas,Snacks",Adityapur
Chef Corner,Adityapur,3.9,500,299,"Indian,Chinese",Adityapur
Mathura Mistan Bhandar,Adityapur,4.5,100,200,"Sweets,Snacks",Adityapur
Pizzapuram,Adityapur,3.7,100,200,"Pizzas,Italian",Adityapur
Gopal Dosa,Adityapur,4.1,100,100,South Indian,Adityapur
Apna Adda,Adityapur,4.1,50,150,"Chinese,Snacks",Adityapur
Babu Moshai,Adityapur,4.0,50,349,"Indian,Chinese",Adityapur
Junction Restaurant,Adityapur,3.7,1000,399,"Indian,Biryani",Adityapur
The Bihari  Resturant,Adityapur,4.4,50,200,"North Indian,Snacks",Adityapur
Delhi Darbar (Sakchi ),Adityapur,3.7,100,200,"Chinese,Biryani",Adityapur
The Hungry Bird,Adityapur,3.9,500,300,"North Indian,Chinese",Adityapur
Manohar Chat,Adityapur,4.1,100,150,"Chinese,Chaat",Adityapur
Dosa Hut,Adityapur,4.0,100,200,"South Indian,Chinese",Adityapur
Chicago Pizza,Adityapur,3.1,100,299,"Pizzas,Pastas",Adityapur
New Chappan Bhog - Sakchi,Adityapur,4.3,100,200,"Sweets,Snacks",Adityapur
Laziz Pizza,Adityapur,3.9,100,300,"Pizzas,Beverages",Adityapur
SAKCHI MISTAN BHANDAR,Adityapur,4.2,100,200,"Sweets,Snacks",Adityapur
BIKKGANE BIRYANI,Adityapur,4.1,100,350,"Biryani,Hyderabadi",Adityapur
Campus Adda,Adityapur,3.9,100,200,"Chinese,Biryani",Adityapur
NEW KOLKATA ARSALAN BIRYANI,Adityapur,3.8,50,250,"Biryani,Fast Food",Adityapur
Biryani By Kilo,Adityapur,4.1,500,600,"Biryani,Hyderabadi",Adityapur
American Waffle House,Adityapur,4.1,100,200,"Waffle,Ice Cream",Adityapur
Lakhi Egg Roll & Caterer,Adityapur,3.5,100,299,"Chinese,Indian",Adityapur
The White Rose,Adityapur,3.9,100,499,"Indian,Chinese",Adityapur
The Belgian Waffle Co.,Adityapur,4.5,100,200,"Beverages,Desserts",Adityapur
Saffron,Adityapur,4.0,100,400,"Indian,Chinese",Adityapur
Brunch Italiano (sakchi),Adityapur,3.7,50,300,Bakery,Adityapur
Uttar Dakshin,Adityapur,3.7,500,200,"Indian,Chinese",Adityapur
Silver Spoon,Adityapur,4.2,100,200,Indian,Adityapur
Pappu Hotel,Adityapur,3.0,100,200,"Biryani,Chinese",Adityapur
BIRYANI BADSHAH,Adityapur,4.1,50,350,"Biryani,Hyderabadi",Adityapur
Tinkoniya Hotel,Adityapur,3.9,50,150,"Snacks,Sweets",Adityapur
Pappu Restaurant,Adityapur,3.4,500,200,"Indian,Biryani",Adityapur
Jalsa Restaurant,Adityapur,4.3,100,200,"Bengali,Indian",Adityapur
J K Residency,Adityapur,4.1,50,400,"Indian,Continental",Adityapur
MEALS @ ONE,Adityapur,3.5,100,200,"Combo,Indian",Adityapur
Momo Square,Adityapur,3.3,50,200,"Tibetan,Nepalese",Adityapur
SAI REGENCY,Adityapur,4.0,100,200,"Indian,Biryani",Adityapur
Jiva Hotel,Adityapur,4.2,100,599,"North Indian,Chinese",Adityapur
BURGER BUDDY,Adityapur,4.2,100,150,"Burgers,Street Food",Adityapur
VADILAL ICE CREAMS,Adityapur,4.6,50,200,Ice Cream,Adityapur
Fusion Restaurant,Adityapur,3.9,500,350,"North Indian,Chinese",Adityapur
Dosa Cafe (Hotel Ganga Regency),Adityapur,4.5,100,199,South Indian,Adityapur
Hotel Ganga Regency,Adityapur,4.2,1000,399,"Indian,Chinese",Adityapur
MURARI BHOJANALAY,Adityapur,4.1,100,199,Indian,Adityapur
New Gangour Sweets (sakchi),Adityapur,4.2,50,199,"Sweets,Snacks",Adityapur
WOK (Hotel Ganga Regency),Adityapur,3.8,50,400,"Chinese,Continental",Adityapur
PUJA SWEETS BHALUBASA,Adityapur,4.6,50,100,"Bengali,Sweets",Adityapur
Pipal,Adityapur,3.9,100,300,"Indian,Chinese",Adityapur
OM SAI RAM MOMOS,Adityapur,4.1,100,100,"Nepalese,Tibetan",Adityapur
Mithila Sweets and Bakery,Adityapur,4.2,50,299,"Sweets,Snacks",Adityapur
Anurag Fast Food Centre,Adityapur,4.1,50,150,"Chinese,Fast Food",Adityapur
Shri Hira Sweets,Adityapur,4.4,100,150,"Sweets,Snacks",Adityapur
KHALSA HOTEL,Adityapur,4.1,100,399,"Indian,North Indian",Adityapur
The Basement,Adityapur,4.2,100,300,"Indian,Tandoor",Adityapur
QUEST REGENCY,Adityapur,4.0,1000,400,"Indian,Biryani",Adityapur
Chakh-Naa,Adityapur,3.9,100,200,Chinese,Adityapur
The Satkar Hotel,Adityapur,4.0,100,200,"Indian,Chinese",Adityapur
Up 'n' above,Adityapur,4.0,50,599,"Indian,Chinese",Adityapur
NEW GANGOUR SWEETS (Mango),Adityapur,4.0,50,200,Sweets,Adityapur
The Crickets Cafe,Adityapur,4.0,100,300,"Indian,Chinese",Adityapur
Hungry Kya,Adityapur,4.3,100,200,"Biryani,North Indian",Adityapur
Pure Veg Rasoi,Adityapur,3.6,50,50,Snacks,Adityapur
FRANKY'S MOMOS,Adityapur,4.4,100,150,"Chinese,Nepalese",Adityapur
Aman Momos,Adityapur,4.2,50,150,"Nepalese,Tibetan",Adityapur
Annapurna New Suruchi Hotel,Adityapur,4.4,100,299,"Indian,South Indian",Adityapur
The Altira Hotel,Adityapur,3.9,50,250,"Chinese,North Indian",Adityapur
KKFC,Adoni,3.8,50,200,Italian,Adoni
Lassi Shop,Adoni,3.8,50,150,"Desserts,Ice Cream",Adoni
Deepthi Pure Veg  family restaurant,Adoni,4.1,100,250,"South Indian,North Indian",Adoni
S Usha Star Restaurant,Adoni,3.8,50,250,Biryani,Adoni
Shawarma king,Adoni,3.5,50,150,"Arabian,Lebanese",Adoni
Arya Hotel,Adoni,4.0,100,150,"North Indian,Chinese",Adoni
Pizza House,Adoni,4.4,100,199,"Pizzas,Fast Food",Adoni
Friends Restaurant,Adoni,3.6,100,299,"North Indian,Chinese",Adoni
Chai Adda,Adoni,3.3,50,150,Beverages,Adoni
Deepthi Veg and nonveg Restaurant,Adoni,3.6,100,250,"South Indian,North Indian",Adoni
Milatary Hotel,Adoni,3.5,100,150,Biryani,Adoni
Gokul Chats,Adoni,3.4,50,199,"Chinese,Chaat",Adoni
SREE TULAJA BHAVANI RESTAURANT,Adoni,3.5,100,250,Indian,Adoni
Kumbakarna Biryani House,Adoni,3.3,50,250,"Biryani,South Indian",Adoni
Biryani's' N' More,Adoni,3.3,100,250,Biryani,Adoni
Masala Bowl Multicusine Restaurant,Adoni,2.8,50,250,Biryani,Adoni
Daya Hari Chatpata,Agartala,4.3,1000,300,"North Indian,Chinese",Agartala
KFC,Agartala,4.0,1000,450,"American,Snacks",Agartala
Sherowali Bhoj- Non Veg Hotel & Restaurant,Agartala,3.9,1000,300,"Indian,Chinese",Agartala
Sherowali Restaurant and Fast Foods,Agartala,4.1,1000,200,"North Indian,Bakery",Agartala
Daya Hari Mithai,Agartala,4.2,500,175,"Indian,Chinese",Agartala
Devi Fast Food,Agartala,4.1,500,175,"North Indian,Chinese",Agartala
Lets Dimsum,Agartala,4.0,500,250,"Indian,Chinese",Agartala
Swasti Niramish Hotel,Agartala,4.0,1000,300,Indian,Agartala
Gopal Mistanna Bhandar,Agartala,4.0,500,100,Desserts,Agartala
Momos N More,Agartala,3.9,100,250,"Chinese,Asian",Agartala
Trinayani,Agartala,3.9,500,200,Indian,Agartala
UK Pizza Hut,Agartala,3.9,100,300,"American,Pizzas",Agartala
Delicious Fast Food And Tiffin Hub,Agartala,3.9,500,175,North Indian,Agartala
Shyamasree Restaurant,Agartala,4.0,500,175,North Indian,Agartala
NATIONAL FAST FOOD,Agartala,3.7,100,150,"Chinese,North Indian",Agartala
Heritage,Agartala,3.9,100,300,North Indian,Agartala
0 Dergee Celcius,Agartala,3.7,100,250,"Desserts,Pizzas",Agartala
Radhe Bol,Agartala,3.9,100,300,"South Indian,North Indian",Agartala
Cholo Khai,Agartala,3.7,100,150,"Fast Food,Chinese",Agartala
MANTU BIRYANI,Agartala,3.7,100,100,"Biryani,Indian",Agartala
New Ashoka Restaurant,Agartala,3.6,100,250,North Indian,Agartala
Abhishek Hotel and Restaurant,Agartala,4.0,100,450,"North Indian,Chinese",Agartala
Frespresso,Agartala,3.5,100,250,North Indian,Agartala
Mrs. Banyan Resturant,Agartala,3.6,100,125,Indian,Agartala
Eatopia Zannat,Agartala,3.7,500,450,"Indian,Chinese",Agartala
Cake plaza,Agartala,4.2,100,8,Bakery,Agartala
Sherowali Sweets,Agartala,4.4,100,150,"Sweets,Desserts",Agartala
Aroma,Agartala,3.6,100,200,"Chinese,Indian",Agartala
HOTEL NIRAMISH BHOJANALAY,Agartala,3.2,100,300,"Indian,Snacks",Agartala
MATKAWALA,Agartala,3.1,100,200,"Indian,Chinese",Agartala
Hungrilla,Agartala,3.7,500,250,"North Indian,Chinese",Agartala
Chatpata Cake Corner,Agartala,4.1,50,150,Bakery,Agartala
Tiffins (From Hungrilla),Agartala,3.5,100,200,Fast Food,Agartala
OFUI HOTEL & RESTAURANT,Agartala,3.5,50,150,Indian,Agartala
Delicious Fast Food,Agartala,3.3,100,150,Indian,Agartala
Momo Magic Cafe,Agartala,3.8,100,200,"Chinese,North Indian",Agartala
POUSHALI FAST FOOD CENTRE,Agartala,3.5,100,200,"Biryani,North Indian",Agartala
Swapna Fast Food Center,Agartala,3.6,100,125,Indian,Agartala
Rupar Tori Hotel & Restaurant,Agartala,4.0,100,375,Indian,Agartala
Smoke N Spice,Agartala,3.4,500,200,"Chinese,Indian",Agartala
TAJ_An Exclusive Veg Restaurent,Agartala,4.2,100,275,North Indian,Agartala
Sherowali Snacks and Bakery,Agartala,4.5,50,150,"Bakery,Snacks",Agartala
Wow Shawarma,Agartala,4.3,500,200,Fast Food,Agartala
Hapieee Box,Agartala,3.4,100,300,"Fast Food,Snacks",Agartala
TARA BIRIYANI,Agartala,3.5,50,200,"Biryani,Indian",Agartala
The Roll Hut,Agartala,4.1,100,175,"Chinese,North Indian",Agartala
Bawarchi Kolkata,Agartala,4.1,100,150,"Indian,Chinese",Agartala
Litttle Chef Agartala,Agartala,3.8,100,200,"North Indian,Chinese",Agartala
Mums Kitchen,Agartala,3.7,50,200,North Indian,Agartala
The Fat Chicken,Agartala,3.5,100,300,North Indian,Agartala
Fresh Bite,Agartala,3.9,100,100,"Indian,Chinese",Agartala
ME N MOMO,Agartala,4.4,50,150,"Indian,Asian",Agartala
TAIPO,Agartala,4.2,50,150,"Chinese,Indian",Agartala
Cafe Coffee Day,Agartala,3.9,100,300,"Beverages,Snacks",Agartala
Kurry Klub,Agartala,3.7,50,425,"Indian,Chinese",Agartala
The Hungry Port,Agartala,4.0,500,250,North Indian,Agartala
Barbie Food Stall,Agartala,3.1,100,150,North Indian,Agartala
INDIAN CAKES & NUTS,Agartala,3.9,50,350,"Indian,Bakery",Agartala
Ritwika's Food Fresto,Agartala,3.5,100,200,North Indian,Agartala
Punjab grill,Agartala,2.9,50,200,"Indian,North Indian",Agartala
Babuana,Agartala,4.0,100,100,"Indian,Chinese",Agartala
Hungrilla (Homely),Agartala,3.6,100,200,"Bengali,Thalis",Agartala
MADHUR KHABAR,Agartala,2.9,50,100,Chinese,Agartala
Ritwika s Kitchen,Agartala,3.4,50,150,"Indian,Chinese",Agartala
Grill Nation,Agartala,3.5,50,500,"Chinese,Combo",Agartala
Sparks- The food hub,Agartala,4.0,1000,275,Indian,Agartala
Adi Sankar Hotel,Agartala,3.3,50,400,North Indian,Agartala
Zaika Restaurant,Agartala,3.7,100,250,North Indian,Agartala
Kebab Ghar,Agartala,4.0,100,200,Kebabs,Agartala
CILANTRO Multi Cuisine Restaurant,Agartala,4.0,100,325,"Thai,Indian",Agartala
THE SERIAL GRILLER,Agartala,3.5,100,300,"Biryani,Chinese",Agartala
High Tree,Agartala,3.6,50,150,Indian,Agartala
Baku Tiffin House,Agartala,4.0,100,200,"Indian,Biryani",Agartala
Domino's Pizza,Agartala,4.4,100,425,Pizzas,Agartala
Debbarma Food Corner,Agartala,2.4,50,200,North Eastern,Agartala
CHATHATAK (A COMPLETE TRIBAL FOOD),Agartala,3.6,50,200,North Eastern,Agartala
Aurum,Agartala,3.3,50,350,"Snacks,Indian",Agartala
Khunti	Karai,Agartala,4.1,50,200,Indian,Agartala
Maa Saradar Ranna Ghor,Agartala,4.0,100,125,"Indian,Snacks",Agartala
BONGO ROSH,Agartala,3.4,100,300,"North Indian,Chinese",Agartala
TryMe,Agartala,3.8,100,200,"Indian,Chinese",Agartala
Hotel VIP International Agartala,Agartala,2.7,50,300,"Biryani,Kebabs",Agartala
Food Delight,Agartala,4.2,50,150,Chinese,Agartala
Sherowali Sweets and Fast Food,Agartala,4.2,100,150,Desserts,Agartala
Dawat,Agartala,3.6,500,300,"Kebabs,Biryani",Agartala
FULL HOUSE - AQUILARIA CLUBHOUSE,Agartala,4.3,100,600,"Chinese,Indian",Agartala
TeaoOze (The snacks bar),Agartala,3.9,50,160,"Snacks,Chinese",Agartala
HML Rooftop Restaurant,Agartala,3.9,50,450,"Chinese,Biryani",Agartala
Hotel Polo Towers,Agartala,3.6,50,600,"Indian,Chinese",Agartala
Momos 20,Agartala,3.1,50,125,Indian,Agartala
Maa Bhagawati Bhoj,Agartala,3.5,100,200,"Indian,Chinese",Agartala
Have Break Momo Stall,Agartala,3.7,100,150,Chinese,Agartala
Aap Ki Rasoi,Agartala,3.8,100,150,"Indian,Chinese",Agartala
Ajanta Hotel,Agartala,3.8,50,200,"Thalis,North Indian",Agartala
Nirmala Hotel & Restaurant,Agartala,3.6,100,225,"North Indian,Chinese",Agartala
Roni Punjabi Dhaba,Agartala,4.0,100,200,North Indian,Agartala
Bhagat Halwai (Dayal Bagh),Agra,3.9,1000,250,"Chinese,North Indian",Agra
Mama Chicken Mama Franky House,Agra,3.8,1000,200,"Chinese,North Indian",Agra
Bhagat Halwai & Sons - Shahganj,Agra,3.9,1000,250,"South Indian,North Indian",Agra
Deep Corner,Agra,3.4,100,300,Desserts,Agra
Bhagat Halwai - Nehru Nagar (Civil Lines),Agra,4.0,100,200,"Sweets,South Indian",Agra
La Pino'z Pizza,Agra,4.0,500,300,"Pizzas,Fast Food",Agra
The Manoj Restaurant,Agra,4.0,100,400,"South Indian,North Indian",Agra
Labbaik Chicken Corner,Agra,3.2,100,600,North Indian,Agra
New Pizza King,Agra,4.0,500,300,"Pizzas,Italian",Agra
GMB - Gopika Sweets & Restaurant,Agra,4.1,100,200,"Sweets,North Indian",Agra
Pushpak Misthan Bhandar,Agra,3.9,100,200,"Sweets,Street Food",Agra
Chimmanlal Poori Wale,Agra,3.5,500,200,"Desserts,North Indian",Agra
Deviram Royal Restaurant,Agra,3.5,50,400,"North Indian,Chinese",Agra
GMB Sweets,Agra,4.3,100,200,"Sweets,South Indian",Agra
Shan-E-Hind,Agra,3.5,100,400,North Indian,Agra
Chimmanlal Puri Wale (Since -1840 - Original),Agra,3.7,100,100,North Indian,Agra
McDonald's,Agra,3.9,1000,400,American,Agra
Cake House,Agra,3.2,1000,150,"Bakery,Desserts",Agra
Pizza Hut,Agra,3.7,50,300,Pizzas,Agra
Ghar Ka Swad (By Papa Ji's),Agra,3.7,500,200,Indian,Agra
GOYAL CAKES & BAKES,Agra,3.3,50,200,"Bakery,Desserts",Agra
Panchhi Petha,Agra,4.5,50,200,Desserts,Agra
pizza cave,Agra,3.5,100,100,Pizzas,Agra
Cake Wala,Agra,3.8,100,500,Bakery,Agra
The Greener Side,Agra,4.0,100,300,"Continental,Desserts",Agra
Bhawna Sweets,Agra,3.6,1000,200,"Sweets,Snacks",Agra
Awadhi Foods,Agra,3.9,100,200,North Indian,Agra
Domino's Pizza,Agra,4.4,50,400,Pizzas,Agra
Aahar,Agra,4.0,500,400,"North Indian,South Indian",Agra
The Belgian Waffle Co.,Agra,4.2,50,200,"Desserts,Beverages",Agra
Guru Kripa Yadav Dhaba,Agra,3.7,100,200,"North Indian,Indian",Agra
Sips and Bites,Agra,4.2,50,200,"North Indian,Chinese",Agra
Raj Rasoi Sweets & Restaurant,Agra,3.9,500,300,"South Indian,North Indian",Agra
Shri Anand Sakahari Bhojan,Agra,3.8,100,200,North Indian,Agra
Yadav Dhaba Purana,Agra,3.6,100,200,North Indian,Agra
Ravi Fast Food,Agra,4.2,50,200,South Indian,Agra
Shubh Anand Hi Anand Bhojnalaya,Agra,3.8,50,400,North Indian,Agra
Jain Restaurant,Agra,3.6,100,300,"North Indian,South Indian",Agra
Biryani By Kilo,Agra,4.1,100,700,"Biryani,Mughlai",Agra
Brijbhog Mishthan Bhandar,Agra,4.3,100,100,"Sweets,Street Food",Agra
Yadav Dhaba,Agra,3.4,50,200,North Indian,Agra
Chopstix,Agra,4.1,50,400,Chinese,Agra
Chainess,Agra,4.0,50,200,"Beverages,Fast Food",Agra
MKOP,Agra,3.8,50,300,"Desserts,Pizzas",Agra
Tirupati's Dosa Factory,Agra,3.8,50,300,South Indian,Agra
NIC Natural Ice Creams,Agra,4.4,100,120,"Ice Cream,Desserts",Agra
Amritsari Kulcha Junction,Agra,3.9,100,300,"North Indian,Chinese",Agra
What the food,Agra,3.7,100,300,"North Indian,Chinese",Agra
Giani Ice Cream,Agra,4.2,50,200,Desserts,Agra
European Bakery,Agra,3.0,100,300,"Bakery,Desserts",Agra
Barbeque Nation,Agra,3.5,50,600,"North Indian,Barbecue",Agra
UBQ by Barbeque Nation,Agra,3.7,100,300,"North Indian,Barbecue",Agra
Kiskey Whiskey,Agra,4.1,50,500,"Indian,Mexican",Agra
Fruck,Agra,3.4,100,300,"Chinese,North Indian",Agra
Bikanervala,Agra,4.0,500,400,"North Indian,Chinese",Agra
Grameen Kulfi,Agra,4.4,50,120,"Ice Cream,Desserts",Agra
Sardarji Da Dhaba,Agra,3.4,100,200,"North Indian,Mughlai",Agra
Deviram Sweets,Agra,4.0,50,200,"Sweets,Snacks",Agra
Burger 27,Agra,4.2,100,250,"Desserts,Chinese",Agra
New Agra Fast Food & Restaurant,Agra,3.7,100,200,"South Indian,Chinese",Agra
Faasos - Wraps & Rolls,Agra,4.3,100,200,"Fast Food,Snacks",Agra
Subway,Agra,4.1,100,350,"Healthy Food,Salads",Agra
Bakingo,Agra,4.3,50,299,"Bakery,Desserts",Agra
Behrouz Biryani,Agra,4.6,100,500,"Biryani,Mughlai",Agra
The Briston Kitchen,Agra,3.8,100,200,"North Indian,Chinese",Agra
Agra Fast Food and Restaurant,Agra,3.5,100,200,"North Indian,South Indian",Agra
Oven Story Pizza,Agra,4.0,100,400,Pizzas,Agra
Anant Restaurant,Agra,3.9,100,200,South Indian,Agra
KFC,Agra,4.1,100,450,"American,Snacks",Agra
Karchi,Agra,4.1,100,300,"North Indian,Mughlai",Agra
The Biryani Life,Agra,4.1,100,250,"Biryani,Hyderabadi",Agra
Agra Biryani Hotspot,Agra,3.9,50,300,"Biryani,Kebabs",Agra
Bhagwan Corner,Agra,2.9,100,200,Bakery,Agra
Chow's Kitchen,Agra,3.5,50,300,"Chinese,Thai",Agra
Mehfil Biryani by Zakir Khan,Agra,3.4,50,600,"Biryani,Mughlai",Agra
Achman Foods (Bhagwan Talkies),Agra,4.0,100,400,"North Indian,South Indian",Agra
LunchBox - Meals and Thalis,Agra,4.1,50,200,"North Indian,Punjabi",Agra
Kwality Walls Frozen Dessert and Ice Cream Shop,Agra,4.4,100,300,Ice Cream,Agra
Manoj Dhaba,Agra,3.5,50,400,North Indian,Agra
Food Stock Exchange,Agra,3.7,50,200,"Chinese,North Indian",Agra
Pind Balluchi,Agra,3.7,100,400,"North Indian,Mughlai",Agra
Guru Mahima Shakahari Bhojnalya,Agra,3.2,50,200,North Indian,Agra
Shri Bankey Bihari Misthan Bhandar,Agra,3.7,50,150,"Chinese,South Indian",Agra
shiv bhojhnalaya,Agra,3.3,100,200,North Indian,Agra
Deviram Food Circle,Agra,3.8,100,300,"Sweets,Snacks",Agra
Shiva Bhojnalaya,Agra,3.4,100,200,"North Indian,Indian",Agra
Grill INN,Agra,4.2,50,200,Italian,Agra
Om Sai Ram Bhojnalaya,Agra,3.4,500,250,"North Indian,Chinese",Agra
Chef Signature : The Food Lovers,Agra,3.0,100,200,"Chinese,North Indian",Agra
Momo Cartel,Agra,3.5,50,300,"Chinese,Pastas",Agra
Shri Mangalam Dhabha,Agra,3.6,50,200,North Indian,Agra
Goli Vada Pav No. 1,Agra,4.1,100,100,"Maharashtrian,North Indian",Agra
Pandit Bhojnalaya,Agra,3.4,500,200,North Indian,Agra
Moonlight - Punjabi Restaurant,Agra,3.6,50,200,"North Indian,South Indian",Agra
Moolchand  Paratha,Agra,3.5,50,200,North Indian,Agra
M.A.D By Tomato'S,"Vastrapur,Ahmedabad",4.3,100,1200,"Indian,Chinese",Ahmedabad
Tea Post,"Vastrapur,Ahmedabad",4.0,100,150,Fast Food,Ahmedabad
Thali Central,"Vastrapur,Ahmedabad",3.6,100,250,"Thalis,Fast Food",Ahmedabad
Shreejikrupa,"Vastrapur,Ahmedabad",4.0,50,200,"Snacks,Beverages",Ahmedabad
The Baker's Dozen,"Vastrapur,Ahmedabad",4.3,100,300,"Bakery,Desserts",Ahmedabad
Jenny's Brownies,"Vastrapur,Ahmedabad",3.7,50,250,"Bakery,Desserts",Ahmedabad
Jay Kalyan Poha Center,"Vastrapur,Ahmedabad",4.2,50,100,Snacks,Ahmedabad
Taco Bell,"Vastrapur,Ahmedabad",3.7,500,300,Mexican,Ahmedabad
Gajanand Pauva House,"Vastrapur,Ahmedabad",4.2,100,200,"Street Food,Snacks",Ahmedabad
Ab Chai Pe Charcha,"Vastrapur,Ahmedabad",3.0,50,200,"Snacks,Beverages",Ahmedabad
V Cafe - Meals By PVR,"Vastrapur,Ahmedabad",4.0,100,300,"Pizzas,Snacks",Ahmedabad
Hari Om Centre,"Vastrapur,Ahmedabad",4.0,100,200,"North Indian,Gujarati",Ahmedabad
New York Waffles & Dinges,"Vastrapur,Ahmedabad",3.8,100,250,"Waffle,Beverages",Ahmedabad
A1 Paratha,"Vastrapur,Ahmedabad",4.3,1000,200,North Indian,Ahmedabad
Shakti - The Sandwich Shop,"Vastrapur,Ahmedabad",3.5,100,250,Pizzas,Ahmedabad
Express By Ab'S,"Vastrapur,Ahmedabad",3.5,50,400,"Biryani,North Indian",Ahmedabad
Bread Box,"Vastrapur,Ahmedabad",4.4,50,250,Fast Food,Ahmedabad
The Belgian Waffle Co.,"Vastrapur,Ahmedabad",4.4,50,200,"Desserts,Beverages",Ahmedabad
Dangee Dums,"Vastrapur,Ahmedabad",4.5,50,400,"Desserts,Bakery",Ahmedabad
